Eagle	Time	id	x	y	z	R	P	Y
b'eagle1'	4084087.680000	11	-0.117912	-0.402895	0.070000	0.000001	-0.000001	-2.123509	
b'eagle1'	4084088.461000	11	-0.113569	-0.417159	0.070000	-0.000000	-0.000001	-2.120121	
b'eagle1'	4084089.241000	11	-0.108704	-0.431472	0.070000	0.000000	-0.000000	-2.115905	
b'eagle1'	4084090.020000	11	-0.103732	-0.445643	0.070000	-0.000000	-0.000001	-2.123733	
b'eagle1'	4084090.751000	11	-0.097805	-0.459281	0.070000	-0.000001	0.000001	-2.129175	
b'eagle1'	4084091.509000	11	-0.092429	-0.472583	0.070000	0.000000	-0.000000	-2.134865	
b'eagle1'	4084092.318000	11	-0.087269	-0.486140	0.070000	-0.000001	0.000001	-2.133653	
b'eagle1'	4084093.047000	11	-0.081578	-0.500585	0.070000	-0.000000	-0.000001	-2.138914	
b'eagle1'	4084093.772000	11	-0.076292	-0.512956	0.070000	0.000001	0.000001	-2.145086	
b'eagle1'	4084094.580000	11	-0.070187	-0.525878	0.070000	0.000000	-0.000000	-2.158115	
b'eagle1'	4084095.383000	11	-0.064235	-0.539576	0.070000	-0.000000	0.000001	-2.167659	
b'eagle1'	4084096.187000	11	-0.058883	-0.553694	0.070000	-0.000001	-0.000001	-2.168899	
b'eagle1'	4084096.992000	11	-0.053564	-0.567329	0.070000	0.000001	-0.000001	-2.173633	
b'eagle1'	4084097.796000	11	-0.047772	-0.581631	0.070000	-0.000000	-0.000001	-2.184907	
b'eagle1'	4084098.600000	11	-0.042084	-0.595733	0.070000	0.000001	-0.000001	-2.198334	
b'eagle1'	4084099.410000	11	-0.036758	-0.609367	0.070000	-0.000001	-0.000001	-2.206655	
b'eagle1'	4084100.212000	11	-0.031799	-0.623737	0.070000	0.000000	-0.000000	-2.212082	
b'eagle1'	4084101.015000	11	-0.026872	-0.637515	0.070000	-0.000001	-0.000001	-2.216755	
b'eagle1'	4084101.820000	11	-0.021810	-0.651611	0.070000	0.000000	-0.000000	-2.224793	
b'eagle1'	4084102.620000	11	-0.016892	-0.665659	0.070000	-0.000001	0.000001	-2.233895	
b'eagle1'	4084103.427000	11	-0.012122	-0.679971	0.070000	0.000000	-0.000000	-2.247125	
b'eagle1'	4084104.230000	11	-0.007432	-0.694453	0.070000	0.000000	-0.000000	-2.253487	
b'eagle1'	4084105.032000	11	-0.003042	-0.708840	0.070000	-0.000001	-0.000001	-2.261601	
b'eagle1'	4084105.835000	11	0.001621	-0.723319	0.070000	0.000000	-0.000000	-2.271229	
b'eagle1'	4084106.638000	11	0.005903	-0.737230	0.070000	0.000000	-0.000000	-2.274898	
b'eagle1'	4084107.441000	11	0.009725	-0.751683	0.070000	0.000000	-0.000000	-2.283973	
b'eagle1'	4084108.243000	11	0.013405	-0.766062	0.070000	0.000000	0.000001	-2.292392	
b'eagle1'	4084109.046000	11	0.017047	-0.780274	0.070000	0.000001	-0.000001	-2.298884	
b'eagle1'	4084109.850000	11	0.021012	-0.794729	0.070000	0.000001	-0.000001	-2.310902	
b'eagle1'	4084110.654000	11	0.024421	-0.809063	0.070000	-0.000001	-0.000001	-2.316605	
b'eagle1'	4084111.484000	11	0.028466	-0.823512	0.070000	-0.000001	-0.000001	-2.326571	
b'eagle1'	4084112.318000	11	0.032249	-0.838441	0.070000	-0.000001	-0.000001	-2.332427	
b'eagle1'	4084113.121000	11	0.035304	-0.853669	0.070000	0.000001	-0.000001	-2.340587	
b'eagle1'	4084113.925000	11	0.038144	-0.868210	0.070000	0.000001	0.000001	-2.348330	
b'eagle1'	4084114.728000	11	0.040801	-0.883126	0.070000	0.000001	-0.000001	-2.352558	
b'eagle1'	4084115.531000	11	0.043605	-0.897732	0.070000	-0.000000	-0.000001	-2.363589	
b'eagle1'	4084116.335000	11	0.046163	-0.912051	0.070000	0.000001	-0.000001	-2.372295	
b'eagle1'	4084117.139000	11	0.049044	-0.926635	0.070000	0.000000	-0.000000	-2.379717	
b'eagle1'	4084117.941000	11	0.051642	-0.941307	0.070000	-0.000001	0.000001	-2.390770	
b'eagle1'	4084118.769000	11	0.054254	-0.955432	0.070000	0.000000	-0.000000	-2.401582	
b'eagle1'	4084119.566000	11	0.057106	-0.970144	0.070000	-0.000001	-0.000001	-2.409062	
b'eagle1'	4084120.367000	11	0.059856	-0.984444	0.070000	0.000001	0.000001	-2.415729	
b'eagle1'	4084121.167000	11	0.062854	-0.998125	0.070000	-0.000001	0.000001	-2.428901	
b'eagle1'	4084121.968000	11	0.060897	-0.993455	0.070000	0.000000	-0.000000	-2.437303	
b'eagle1'	4084122.773000	11	0.056831	-0.987694	0.070000	0.000001	0.000001	-2.457497	
b'eagle1'	4084123.573000	11	0.054227	-0.984494	0.070000	0.000000	-0.000000	-2.472100	
